,Seq,Datetime,Month,Weekday,Time,Description,Operator,Entry_Route,Exit,Product,Change,Balance,SB_Change,SB_Balance,Trip,bus_time
0,3,2013-11-05 12:34:00,11,Tuesday,12:34,ALPO Object Update,Metrorail,Rosslyn,,ALP SB Trn FF,0.0,14.5,160.0,160.0,0,
1,4,2013-11-05 12:34:00,11,Tuesday,12:34,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,0.0,160.0,1,
2,5,2013-11-05 12:52:00,11,Tuesday,12:52,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,158.0,1,
3,6,2013-11-07 12:33:00,11,Thursday,12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.0,158.0,2,
4,7,2013-11-07 12:50:00,11,Thursday,12:50,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,156.0,2,
5,8,2013-11-12 12:32:00,11,Tuesday,12:32,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.0,156.0,3,
6,9,2013-11-12 12:50:00,11,Tuesday,12:50,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,154.0,3,
7,10,2013-11-14 12:33:00,11,Thursday,12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.0,154.0,4,
8,11,2013-11-14 12:54:00,11,Thursday,12:54,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,152.0,4,
9,12,2013-11-15 08:55:00,11,Friday,8:55,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.5,152.0,5,
10,13,2013-11-15 09:16:00,11,Friday,9:16,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,149.5,5,
11,14,2013-11-19 12:33:00,11,Tuesday,12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.0,149.5,6,
12,15,2013-11-19 12:51:00,11,Tuesday,12:51,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,1.0,147.5,6,
13,0,2013-11-19 17:59:00,11,Tuesday,17:59,Entry,DC Circulator,Georgetown - Union,,Stored ValueALP SB Trn FF,0.0,14.5,0.0,146.5,7,
14,1,2013-11-21 12:31:00,11,Thursday,12:31,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,0.0,146.5,8,
15,2,2013-11-21 12:57:00,11,Thursday,12:57,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,2.0,146.5,8,
16,3,2013-11-22 17:23:00,11,Friday,17:23,Entry,Metrorail,Capitol South,,Stored ValueALP SB Trn FF,0.0,14.5,2.5,144.5,9,
17,4,2013-11-22 17:44:00,11,Friday,17:44,Exit,Metrorail,Capitol South,Rosslyn,Stored ValueALP SB Trn FF,0.0,14.5,0.0,142.0,9,
18,5,2013-11-26 12:34:00,11,Tuesday,12:34,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,0.0,14.5,2.0,142.0,10,
19,6,2013-11-26 12:52:00,11,Tuesday,12:52,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,0.0,14.5,0.0,140.0,10,
20,7,2013-11-27 13:44:00,11,Wednesday,13:44,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,0.0,14.5,1.7,140.0,11,
