Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Change (+/-),Balance,SB Change,SmartBenefit Balance
1,12/4/2015 11:59,Transfer,Metrobus,7F,,StoredValue FF,$0.00 ,$26.25 ,,$160.00 
0,12/4/2015 11:27,Entry,Metrobus,16A,,StoredValue FF,($1.75),$26.25 ,,$160.00 
14,12/4/2015 1:02,Threshold Autoload,Metrobus,38B,,StoredValue FF,$20.00 ,$29.75 ,,$158.00 
15,12/4/2015 1:02,Entry,Metrobus,38B,,StoredValue FF,($1.75),$28.00 ,,$158.00 
13,12/3/2015 21:47,Entry,DC Circulator,Georgetown - Union,,StoredValue FF,($1.00),$9.75 ,,$156.00 
12,12/3/2015 18:05,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$10.75 ,,$156.00 
11,12/3/2015 17:46,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$12.45 ,,$154.00 
10,12/3/2015 17:32,Entry,Metrobus,7P,,StoredValue FF,($1.75),$12.45 ,,$154.00 
9,12/1/2015 22:19,Transfer,Metrobus,16A,,StoredValue FF,($1.25),$14.20 ,,$152.00 
8,12/1/2015 22:17,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$15.45 ,,$152.00 
7,12/1/2015 21:50,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$17.25 ,,$149.50 
6,11/24/2015 22:02,Exit,Metrorail,McPherson Square,Union Station,StoredValue FF,($1.75),$17.25 ,,$149.50 
5,11/24/2015 21:43,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$19.00 ,,$147.50 
4,11/24/2015 17:52,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$19.00 ,,$146.50 
3,11/24/2015 17:37,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$20.70 ,,$146.50 
2,11/24/2015 17:27,Entry,Metrobus,7P,,StoredValue FF,($1.75),$20.70 ,,$146.50 
1,11/23/2015 22:38,Transfer,Metrobus,16B,,StoredValue FF,($1.25),$22.45 ,,$144.50 
0,11/23/2015 22:33,Exit,Metrorail,,Pentagon,StoredValue FF,($1.95),$23.70 ,,$142.00 
15,11/23/2015 21:55,Entry,Metrorail,Dupont Circle,,StoredValue FF,$0.00 ,$25.65 ,,$142.00 
14,11/23/2015 18:35,Exit,Metrorail,,Dupont Circle,StoredValue FF,($1.90),$25.65 ,,$140.00 
13,11/23/2015 18:18,Transfer,Metrorail,,Pentagon,StoredValue FF,$0.00 ,$27.55 ,,$140.00 
11,11/23/2015 18:04,Threshold Autoload,Metrobus,7P,,StoredValue FF,$20.00 ,$29.30 ,,$138.30 
12,11/23/2015 18:04,Entry,Metrobus,7P,,StoredValue FF,($1.75),$27.55 ,,$138.30 
10,11/21/2015 15:49,Transfer,Metrobus,16J,,StoredValue FF,($0.75),$9.30 ,,$136.20 
9,11/21/2015 15:38,Exit,Metrorail,,Pentagon,StoredValue FF,($1.45),$10.05 ,,$160.00 
8,11/21/2015 15:16,Transfer,Metrorail,,Union Station,StoredValue FF,$0.00 ,$11.50 ,,$160.00 
7,11/21/2015 14:04,Entry,DC Circulator,Georgetown - Union,,StoredValue FF,($1.00),$11.50 ,,$158.30 
6,11/19/2015 22:17,Transfer,Metrobus,16A,,StoredValue FF,($1.25),$12.50 ,,$157.80 
5,11/19/2015 22:09,Exit,Metrorail,McPherson Square,Pentagon,StoredValue FF,($1.80),$13.75 ,,$155.80 
4,11/19/2015 21:43,Entry,Metrorail,McPherson Square,,StoredValue FF,$0.00 ,$15.55 ,,$157.80 
3,11/19/2015 18:06,Exit,Metrorail,,McPherson Square,StoredValue FF,($1.70),$15.55 ,,$154.80 
